"tick","p"
1.0,5
2.0,5
3.0,5
4.0,5
5.0,5
6.0,5
7.0,5
8.0,5
9.0,5
10.0,5
11.0,5
12.0,5
13.0,5
14.0,5
15.0,4
16.0,4
17.0,4
18.0,4
19.0,4
20.0,4
21.0,4
22.0,4
23.0,4
24.0,4
25.0,4
26.0,4
27.0,4
28.0,4
29.0,4
30.0,4
31.0,4
32.0,4
33.0,4
34.0,4
35.0,4
36.0,4
37.0,4
38.0,4
39.0,4
40.0,4
41.0,4
42.0,4
43.0,4
44.0,4
45.0,4
46.0,4
47.0,4
48.0,4
49.0,4
50.0,3
51.0,3
52.0,3
53.0,3
54.0,3
55.0,3
56.0,3
57.0,3
58.0,3
59.0,3
60.0,3
61.0,3
62.0,3
63.0,3
64.0,3
65.0,3
66.0,3
67.0,3
68.0,3
69.0,3
70.0,3
71.0,3
72.0,3
73.0,3
74.0,3
75.0,3
76.0,3
77.0,3
78.0,3
79.0,3
80.0,3
81.0,3
82.0,3
83.0,3
84.0,3
85.0,3
86.0,3
87.0,3
88.0,3
89.0,3
90.0,3
91.0,3
92.0,3
93.0,3
94.0,3
95.0,3
96.0,3
97.0,3
98.0,3
99.0,3
100.0,3
101.0,3
102.0,3
103.0,3
104.0,3
105.0,3
106.0,3
107.0,3
108.0,3
109.0,3
110.0,3
111.0,3
112.0,3
113.0,3
114.0,3
115.0,3
116.0,3
117.0,3
118.0,3
119.0,3
120.0,3
121.0,3
122.0,3
123.0,3
124.0,3
125.0,3
126.0,3
127.0,3
128.0,3
129.0,3
130.0,3
131.0,3
132.0,3
133.0,3
134.0,3
135.0,3
136.0,3
137.0,3
138.0,3
139.0,3
140.0,2
141.0,2
142.0,2
143.0,2
144.0,2
145.0,2
146.0,2
147.0,2
148.0,2
149.0,2
150.0,2
151.0,2
152.0,2
153.0,2
154.0,2
155.0,2
156.0,2
157.0,2
158.0,2
159.0,2
160.0,2
161.0,2
162.0,2
163.0,2
164.0,2
165.0,2
166.0,2
167.0,2
168.0,2
169.0,2
170.0,2
171.0,2
172.0,2
173.0,2
174.0,2
175.0,2
176.0,2
177.0,2
178.0,2
179.0,2
180.0,2
181.0,2
182.0,2
183.0,2
184.0,2
185.0,2
186.0,2
187.0,2
188.0,2
189.0,2
190.0,2
191.0,2
192.0,2
193.0,2
194.0,2
195.0,2
196.0,2
197.0,2
198.0,2
199.0,2
200.0,2
201.0,2
202.0,2
203.0,2
204.0,2
205.0,2
206.0,2
207.0,2
208.0,2
209.0,2
210.0,2
211.0,2
212.0,2
213.0,2
214.0,2
215.0,2
216.0,2
217.0,2
218.0,2
219.0,2
220.0,2
221.0,2
222.0,2
223.0,2
224.0,2
225.0,2
226.0,2
227.0,2
228.0,2
229.0,2
230.0,2
231.0,2
232.0,2
233.0,2
234.0,2
235.0,2
236.0,2
237.0,2
238.0,2
239.0,2
240.0,2
241.0,2
242.0,2
243.0,2
244.0,2
245.0,2
246.0,2
247.0,2
248.0,2
249.0,2
250.0,2
251.0,2
252.0,2
253.0,2
254.0,2
255.0,2
256.0,2
257.0,2
258.0,2
259.0,2
260.0,2
261.0,2
262.0,2
263.0,2
264.0,2
265.0,2
266.0,2
267.0,2
268.0,2
269.0,2
270.0,2
271.0,2
272.0,2
273.0,2
274.0,2
275.0,2
276.0,2
277.0,2
278.0,2
279.0,2
280.0,2
281.0,2
282.0,2
283.0,2
284.0,2
285.0,2
286.0,2
287.0,2
288.0,2
289.0,2
290.0,2
291.0,2
292.0,2
293.0,2
294.0,2
295.0,2
296.0,2
297.0,2
298.0,2
299.0,2
300.0,2
301.0,2
302.0,2
303.0,2
304.0,2
305.0,2
306.0,2
307.0,2
308.0,2
309.0,2
310.0,2
311.0,2
312.0,2
313.0,2
314.0,2
315.0,2
316.0,2
317.0,2
318.0,2
319.0,2
320.0,2
321.0,2
322.0,2
323.0,2
324.0,2
325.0,2
326.0,2
327.0,2
328.0,2
329.0,2
330.0,2
331.0,2
332.0,2
333.0,2
334.0,2
335.0,2
336.0,2
337.0,2
338.0,2
339.0,2
340.0,2
341.0,2
342.0,2
343.0,2
344.0,2
345.0,2
346.0,2
347.0,2
348.0,2
349.0,2
350.0,2
351.0,2
352.0,2
353.0,2
354.0,2
355.0,2
356.0,2
357.0,2
358.0,2
359.0,2
360.0,2
361.0,2
362.0,2
363.0,2
364.0,2
365.0,2
366.0,2
367.0,2
368.0,2
369.0,2
370.0,2
371.0,2
372.0,2
373.0,2
374.0,2
375.0,2
376.0,2
377.0,2
378.0,2
379.0,2
380.0,2
381.0,2
382.0,2
383.0,2
384.0,2
385.0,2
386.0,2
387.0,2
388.0,2
389.0,2
390.0,2
391.0,2
392.0,2
393.0,2
394.0,2
395.0,2
396.0,2
397.0,2
398.0,2
399.0,2
400.0,2
401.0,2
402.0,2
403.0,2
404.0,2
405.0,2
406.0,2
407.0,2
408.0,2
409.0,2
410.0,2
411.0,2
412.0,2
413.0,2
414.0,2
415.0,2
416.0,2
417.0,2
418.0,2
419.0,2
420.0,2
421.0,2
422.0,2
423.0,2
424.0,2
425.0,2
426.0,2
427.0,2
428.0,2
429.0,2
430.0,2
431.0,2
432.0,2
433.0,2
434.0,2
435.0,2
436.0,2
437.0,2
438.0,2
439.0,2
440.0,2
441.0,2
442.0,2
443.0,2
444.0,2
445.0,2
446.0,2
447.0,1
448.0,1
449.0,1
450.0,1
451.0,1
452.0,1
453.0,1
454.0,1
455.0,1
456.0,1
457.0,1
458.0,1
459.0,1
460.0,1
461.0,1
462.0,1
463.0,1
464.0,1
465.0,1
466.0,1
467.0,1
468.0,1
469.0,1
470.0,1
471.0,1
472.0,1
473.0,1
474.0,1
475.0,1
476.0,1
477.0,1
478.0,0
