"tick","p"
1.0,5
2.0,5
3.0,5
4.0,5
5.0,5
6.0,5
7.0,5
8.0,5
9.0,5
10.0,5
11.0,5
12.0,5
13.0,5
14.0,5
15.0,5
16.0,5
17.0,5
18.0,5
19.0,5
20.0,5
21.0,5
22.0,5
23.0,5
24.0,5
25.0,4
26.0,4
27.0,4
28.0,4
29.0,4
30.0,4
31.0,4
32.0,4
33.0,3
34.0,3
35.0,3
36.0,3
37.0,3
38.0,3
39.0,3
40.0,3
41.0,3
42.0,3
43.0,3
44.0,3
45.0,3
46.0,3
47.0,3
48.0,3
49.0,3
50.0,3
51.0,3
52.0,3
53.0,3
54.0,3
55.0,3
56.0,3
57.0,3
58.0,3
59.0,3
60.0,2
61.0,2
62.0,2
63.0,2
64.0,2
65.0,2
66.0,2
67.0,2
68.0,2
69.0,2
70.0,2
71.0,2
72.0,2
73.0,2
74.0,2
75.0,2
76.0,2
77.0,2
78.0,2
79.0,2
80.0,2
81.0,2
82.0,2
83.0,2
84.0,2
85.0,2
86.0,2
87.0,2
88.0,2
89.0,2
90.0,2
91.0,2
92.0,2
93.0,2
94.0,2
95.0,2
96.0,2
97.0,2
98.0,2
99.0,2
100.0,2
101.0,2
102.0,2
103.0,2
104.0,2
105.0,2
106.0,2
107.0,2
108.0,2
109.0,2
110.0,2
111.0,1
112.0,1
113.0,1
114.0,1
115.0,1
116.0,1
117.0,1
118.0,1
119.0,1
120.0,1
121.0,1
122.0,1
123.0,1
124.0,1
125.0,1
126.0,1
127.0,1
128.0,1
129.0,1
130.0,1
131.0,1
132.0,1
133.0,1
134.0,1
135.0,1
136.0,1
137.0,1
138.0,1
139.0,1
140.0,1
141.0,1
142.0,1
143.0,1
144.0,1
145.0,1
146.0,1
147.0,1
148.0,1
149.0,1
150.0,1
151.0,1
152.0,1
153.0,1
154.0,1
155.0,1
156.0,1
157.0,1
158.0,1
159.0,1
160.0,1
161.0,1
162.0,1
163.0,1
164.0,1
165.0,1
166.0,1
167.0,1
168.0,1
169.0,0
