"run","randomSeed","device_timeout","player_count","slender_running_speed","slender_radius","player_big_radius","player_speed","player_small_radius","slender_walking_speed"
1,1616816419,50,5,0.5,1,5,1,1,0.1
3,1616818226,50,5,0.5,1,5,1,3,0.1
5,1616820844,50,5,0.5,1,5,3,1,0.1
7,1616821145,50,5,0.5,1,5,3,3,0.1
9,1616821284,50,5,0.5,1,8,1,1,0.1
11,1616821679,50,5,0.5,1,8,1,3,0.1
13,1616821862,50,5,0.5,1,8,3,1,0.1
15,1616821938,50,5,0.5,1,8,3,3,0.1
17,1616821979,50,5,0.5,5,5,1,1,0.1
19,1616822113,50,5,0.5,5,5,1,3,0.1
21,1616823274,50,5,0.5,5,5,3,1,0.1
23,1616823436,50,5,0.5,5,5,3,3,0.1
25,1616823500,50,5,0.5,5,8,1,1,0.1
27,1616823593,50,5,0.5,5,8,1,3,0.1
29,1616823704,50,5,0.5,5,8,3,1,0.1
31,1616823768,50,5,0.5,5,8,3,3,0.1
33,1616823800,50,5,0.8,1,5,1,1,0.1
35,1616823906,50,5,0.8,1,5,1,3,0.1
37,1616824014,50,5,0.8,1,5,3,1,0.1
39,1616824039,50,5,0.8,1,5,3,3,0.1
41,1616824125,50,5,0.8,1,8,1,1,0.1
43,1616824202,50,5,0.8,1,8,1,3,0.1
45,1616824342,50,5,0.8,1,8,3,1,0.1
47,1616824373,50,5,0.8,1,8,3,3,0.1
49,1616824392,50,5,0.8,5,5,1,1,0.1
51,1616824433,50,5,0.8,5,5,1,3,0.1
53,1616824540,50,5,0.8,5,5,3,1,0.1
55,1616824644,50,5,0.8,5,5,3,3,0.1
57,1616824851,50,5,0.8,5,8,1,1,0.1
59,1616824894,50,5,0.8,5,8,1,3,0.1
61,1616825057,50,5,0.8,5,8,3,1,0.1
63,1616825103,50,5,0.8,5,8,3,3,0.1
65,1616825154,50,8,0.5,1,5,1,1,0.1
67,1616825237,50,8,0.5,1,5,1,3,0.1
69,1616825899,50,8,0.5,1,5,3,1,0.1
71,1616825957,50,8,0.5,1,5,3,3,0.1
73,1616825978,50,8,0.5,1,8,1,1,0.1
75,1616826183,50,8,0.5,1,8,1,3,0.1
77,1616826207,50,8,0.5,1,8,3,1,0.1
79,1616826235,50,8,0.5,1,8,3,3,0.1
81,1616826259,50,8,0.5,5,5,1,1,0.1
83,1616826389,50,8,0.5,5,5,1,3,0.1
85,1616827529,50,8,0.5,5,5,3,1,0.1
87,1616827617,50,8,0.5,5,5,3,3,0.1
89,1616827752,50,8,0.5,5,8,1,1,0.1
91,1616827881,50,8,0.5,5,8,1,3,0.1
93,1616828766,50,8,0.5,5,8,3,1,0.1
95,1616828817,50,8,0.5,5,8,3,3,0.1
97,1616828936,50,8,0.8,1,5,1,1,0.1
99,1616828993,50,8,0.8,1,5,1,3,0.1
101,1616829058,50,8,0.8,1,5,3,1,0.1
103,1616829143,50,8,0.8,1,5,3,3,0.1
105,1616829166,50,8,0.8,1,8,1,1,0.1
107,1616829427,50,8,0.8,1,8,1,3,0.1
109,1616829626,50,8,0.8,1,8,3,1,0.1
111,1616829652,50,8,0.8,1,8,3,3,0.1
113,1616829717,50,8,0.8,5,5,1,1,0.1
115,1616829742,50,8,0.8,5,5,1,3,0.1
117,1616829845,50,8,0.8,5,5,3,1,0.1
119,1616829944,50,8,0.8,5,5,3,3,0.1
121,1616830014,50,8,0.8,5,8,1,1,0.1
123,1616830088,50,8,0.8,5,8,1,3,0.1
125,1616830226,50,8,0.8,5,8,3,1,0.1
127,1616830309,50,8,0.8,5,8,3,3,0.1
2,1616813202,50,5,0.5,1,5,1,1,0.3
4,1616814687,50,5,0.5,1,5,1,3,0.3
6,1616816156,50,5,0.5,1,5,3,1,0.3
8,1616816249,50,5,0.5,1,5,3,3,0.3
10,1616816416,50,5,0.5,1,8,1,1,0.3
12,1616816494,50,5,0.5,1,8,1,3,0.3
14,1616816771,50,5,0.5,1,8,3,1,0.3
16,1616816790,50,5,0.5,1,8,3,3,0.3
18,1616816817,50,5,0.5,5,5,1,1,0.3
20,1616817254,50,5,0.5,5,5,1,3,0.3
22,1616818887,50,5,0.5,5,5,3,1,0.3
24,1616819105,50,5,0.5,5,5,3,3,0.3
26,1616819881,50,5,0.5,5,8,1,1,0.3
28,1616820209,50,5,0.5,5,8,1,3,0.3
30,1616821770,50,5,0.5,5,8,3,1,0.3
32,1616821892,50,5,0.5,5,8,3,3,0.3
34,1616821934,50,5,0.8,1,5,1,1,0.3
36,1616822078,50,5,0.8,1,5,1,3,0.3
38,1616822268,50,5,0.8,1,5,3,1,0.3
40,1616822320,50,5,0.8,1,5,3,3,0.3
42,1616822429,50,5,0.8,1,8,1,1,0.3
44,1616822626,50,5,0.8,1,8,1,3,0.3
46,1616823797,50,5,0.8,1,8,3,1,0.3
48,1616823843,50,5,0.8,1,8,3,3,0.3
50,1616823862,50,5,0.8,5,5,1,1,0.3
52,1616823894,50,5,0.8,5,5,1,3,0.3
54,1616824091,50,5,0.8,5,5,3,1,0.3
56,1616824225,50,5,0.8,5,5,3,3,0.3
58,1616824282,50,5,0.8,5,8,1,1,0.3
60,1616824379,50,5,0.8,5,8,1,3,0.3
62,1616824476,50,5,0.8,5,8,3,1,0.3
64,1616824519,50,5,0.8,5,8,3,3,0.3
66,1616824789,50,8,0.5,1,5,1,1,0.3
68,1616824871,50,8,0.5,1,5,1,3,0.3
70,1616824998,50,8,0.5,1,5,3,1,0.3
72,1616825059,50,8,0.5,1,5,3,3,0.3
74,1616825124,50,8,0.5,1,8,1,1,0.3
76,1616825668,50,8,0.5,1,8,1,3,0.3
78,1616825780,50,8,0.5,1,8,3,1,0.3
80,1616825814,50,8,0.5,1,8,3,3,0.3
82,1616825907,50,8,0.5,5,5,1,1,0.3
84,1616826010,50,8,0.5,5,5,1,3,0.3
86,1616826303,50,8,0.5,5,5,3,1,0.3
88,1616826415,50,8,0.5,5,5,3,3,0.3
90,1616826495,50,8,0.5,5,8,1,1,0.3
92,1616826697,50,8,0.5,5,8,1,3,0.3
94,1616828690,50,8,0.5,5,8,3,1,0.3
96,1616828760,50,8,0.5,5,8,3,3,0.3
98,1616828803,50,8,0.8,1,5,1,1,0.3
100,1616829077,50,8,0.8,1,5,1,3,0.3
102,1616829357,50,8,0.8,1,5,3,1,0.3
104,1616829446,50,8,0.8,1,5,3,3,0.3
106,1616829489,50,8,0.8,1,8,1,1,0.3
108,1616829527,50,8,0.8,1,8,1,3,0.3
