"run";"randomSeed";"player_count";"slender_running_speed";"slender_radius";"player_big_radius";"player_speed";"player_small_radius";"slender_walking_speed"
1;-283821222;1;0.1;1;1;1;1;0.1
3;-283819281;3;0.3;3;3;3;3;0.3
5;-283818594;5;0.5;5;5;5;5;0.5
7;-283818211;7;0.7;7;7;5;7;0.7
9;-283817984;9;0.9;9;9;5;9;0.9
11;-283817149;11;1.1;11;11;5;11;1.1
13;-283814929;13;1.3;13;13;5;13;1.3
15;-283814322;15;1.3;15;15;5;15;1.3
17;-283812919;2;0.2;2;2;2;2;0.2
19;-283812687;4;0.4;4;4;4;4;0.4
21;-283812231;6;0.6;6;6;5;6;0.6
23;-283811956;8;0.8;8;8;5;8;0.8
25;-283811640;10;1.0;10;10;5;10;1.0
27;-283811257;12;1.2;12;12;5;12;1.2
29;-283810342;14;1.3;14;14;5;14;1.3
31;-283808530;1;0.1;1;1;1;1;0.1
33;-283807959;3;0.3;3;3;3;3;0.3
35;-283807701;5;0.5;5;5;5;5;0.5
37;-283807607;7;0.7;7;7;5;7;0.7
39;-283807248;9;0.9;9;9;5;9;0.9
41;-283807187;11;1.1;11;11;5;11;1.1
43;-283807045;13;1.3;13;13;5;13;1.3
45;-283805462;15;1.3;15;15;5;15;1.3
47;-283805240;2;0.2;2;2;2;2;0.2
49;-283804854;4;0.4;4;4;4;4;0.4
51;-283804297;6;0.6;6;6;5;6;0.6
53;-283803976;8;0.8;8;8;5;8;0.8
55;-283803741;10;1.0;10;10;5;10;1.0
57;-283803350;12;1.2;12;12;5;12;1.2
59;-283803150;14;1.3;14;14;5;14;1.3
61;-283800525;1;0.1;1;1;1;1;0.1
63;-283800429;3;0.3;3;3;3;3;0.3
65;-283800365;5;0.5;5;5;5;5;0.5
67;-283800273;7;0.7;7;7;5;7;0.7
69;-283800197;9;0.9;9;9;5;9;0.9
71;-283800035;11;1.1;11;11;5;11;1.1
73;-283799821;13;1.3;13;13;5;13;1.3
75;-283798990;15;1.3;15;15;5;15;1.3
77;-283798927;2;0.2;2;2;2;2;0.2
79;-283798799;4;0.4;4;4;4;4;0.4
81;-283798743;6;0.6;6;6;5;6;0.6
83;-283798710;8;0.8;8;8;5;8;0.8
85;-283798671;10;1.0;10;10;5;10;1.0
87;-283798595;12;1.2;12;12;5;12;1.2
89;-283798070;14;1.3;14;14;5;14;1.3
91;-283797844;1;0.1;1;1;1;1;0.1
93;-283797234;3;0.3;3;3;3;3;0.3
95;-283797131;5;0.5;5;5;5;5;0.5
97;-283797095;7;0.7;7;7;5;7;0.7
99;-283797041;9;0.9;9;9;5;9;0.9
101;-283796947;11;1.1;11;11;5;11;1.1
103;-283795923;13;1.3;13;13;5;13;1.3
105;-283795770;15;1.3;15;15;5;15;1.3
107;-283795615;2;0.2;2;2;2;2;0.2
109;-283795505;4;0.4;4;4;4;4;0.4
111;-283795461;6;0.6;6;6;5;6;0.6
113;-283795437;8;0.8;8;8;5;8;0.8
115;-283795404;10;1.0;10;10;5;10;1.0
117;-283795096;12;1.2;12;12;5;12;1.2
119;-283794955;14;1.3;14;14;5;14;1.3
121;-283793424;1;0.1;1;1;1;1;0.1
123;-283793112;3;0.3;3;3;3;3;0.3
125;-283793004;5;0.5;5;5;5;5;0.5
127;-283792965;7;0.7;7;7;5;7;0.7
129;-283792896;9;0.9;9;9;5;9;0.9
131;-283792766;11;1.1;11;11;5;11;1.1
133;-283792046;13;1.3;13;13;5;13;1.3
135;-283790721;15;1.3;15;15;5;15;1.3
137;-283789226;2;0.2;2;2;2;2;0.2
139;-283789140;4;0.4;4;4;4;4;0.4
141;-283789038;6;0.6;6;6;5;6;0.6
143;-283788937;8;0.8;8;8;5;8;0.8
145;-283788781;10;1.0;10;10;5;10;1.0
147;-283788659;12;1.2;12;12;5;12;1.2
149;-283788482;14;1.3;14;14;5;14;1.3
2;-283813439;2;0.2;2;2;2;2;0.2
4;-283810198;4;0.4;4;4;4;4;0.4
6;-283809589;6;0.6;6;6;5;6;0.6
8;-283809373;8;0.8;8;8;5;8;0.8
10;-283809233;10;1.0;10;10;5;10;1.0
12;-283808566;12;1.2;12;12;5;12;1.2
14;-283807951;14;1.3;14;14;5;14;1.3
16;-283805242;1;0.1;1;1;1;1;0.1
18;-283803930;3;0.3;3;3;3;3;0.3
20;-283803757;5;0.5;5;5;5;5;0.5
22;-283803531;7;0.7;7;7;5;7;0.7
24;-283803247;9;0.9;9;9;5;9;0.9
26;-283803162;11;1.1;11;11;5;11;1.1
28;-283803116;13;1.3;13;13;5;13;1.3
30;-283802884;15;1.3;15;15;5;15;1.3
32;-283800336;2;0.2;2;2;2;2;0.2
34;-283800118;4;0.4;4;4;4;4;0.4
36;-283800069;6;0.6;6;6;5;6;0.6
38;-283799906;8;0.8;8;8;5;8;0.8
40;-283799735;10;1.0;10;10;5;10;1.0
42;-283799576;12;1.2;12;12;5;12;1.2
44;-283799355;14;1.3;14;14;5;14;1.3
46;-283796528;1;0.1;1;1;1;1;0.1
48;-283796354;3;0.3;3;3;3;3;0.3
50;-283796321;5;0.5;5;5;5;5;0.5
52;-283796229;7;0.7;7;7;5;7;0.7
54;-283796098;9;0.9;9;9;5;9;0.9
56;-283795687;11;1.1;11;11;5;11;1.1
58;-283795305;13;1.3;13;13;5;13;1.3
60;-283793906;15;1.3;15;15;5;15;1.3
62;-283793572;2;0.2;2;2;2;2;0.2
64;-283793416;4;0.4;4;4;4;4;0.4
66;-283793325;6;0.6;6;6;5;6;0.6
68;-283793130;8;0.8;8;8;5;8;0.8
70;-283792988;10;1.0;10;10;5;10;1.0
72;-283792942;12;1.2;12;12;5;12;1.2
74;-283792733;14;1.3;14;14;5;14;1.3
76;-283792671;1;0.1;1;1;1;1;0.1
78;-283792220;3;0.3;3;3;3;3;0.3
80;-283792146;5;0.5;5;5;5;5;0.5
82;-283792061;7;0.7;7;7;5;7;0.7
84;-283792030;9;0.9;9;9;5;9;0.9
86;-283791997;11;1.1;11;11;5;11;1.1
88;-283791962;13;1.3;13;13;5;13;1.3
90;-283789529;15;1.3;15;15;5;15;1.3
92;-283778900;2;0.2;2;2;2;2;0.2
94;-283778823;4;0.4;4;4;4;4;0.4
96;-283778809;6;0.6;6;6;5;6;0.6
98;-283778797;8;0.8;8;8;5;8;0.8
100;-283778743;10;1.0;10;10;5;10;1.0
102;-283778550;12;1.2;12;12;5;12;1.2
104;-283778460;14;1.3;14;14;5;14;1.3
106;-283777472;1;0.1;1;1;1;1;0.1
108;-283777111;3;0.3;3;3;3;3;0.3
110;-283777015;5;0.5;5;5;5;5;0.5
112;-283776990;7;0.7;7;7;5;7;0.7
114;-283776797;9;0.9;9;9;5;9;0.9
116;-283776782;11;1.1;11;11;5;11;1.1
118;-283776401;13;1.3;13;13;5;13;1.3
120;-283776323;15;1.3;15;15;5;15;1.3
122;-283769990;2;0.2;2;2;2;2;0.2
124;-283769831;4;0.4;4;4;4;4;0.4
126;-283769770;6;0.6;6;6;5;6;0.6
128;-283769744;8;0.8;8;8;5;8;0.8
130;-283769716;10;1.0;10;10;5;10;1.0
132;-283769487;12;1.2;12;12;5;12;1.2
134;-283769411;14;1.3;14;14;5;14;1.3
136;-283767696;1;0.1;1;1;1;1;0.1
138;-283767522;3;0.3;3;3;3;3;0.3
140;-283767428;5;0.5;5;5;5;5;0.5
