"run";"randomSeed";"device_timeout";"player_count";"slender_running_speed";"slender_radius";"player_big_radius";"player_speed";"player_small_radius";"slender_walking_speed"
1;1617006556;50;5;0.5;1;5;1;1;0.1
3;1617008580;50;5;0.5;1;5;1;3;0.1
5;1617008872;50;5;0.5;1;5;3;1;0.1
7;1617009310;50;5;0.5;1;5;3;3;0.1
9;1617009560;50;5;0.5;1;8;1;1;0.1
11;1617010027;50;5;0.5;1;8;1;3;0.1
13;1617010185;50;5;0.5;1;8;3;1;0.1
15;1617010459;50;5;0.5;1;8;3;3;0.1
17;1617010638;50;5;0.5;5;5;1;1;0.1
19;1617010900;50;5;0.5;5;5;1;3;0.1
21;1617011912;50;5;0.5;5;5;3;1;0.1
23;1617012121;50;5;0.5;5;5;3;3;0.1
25;1617012411;50;5;0.5;5;8;1;1;0.1
27;1617012901;50;5;0.5;5;8;1;3;0.1
29;1617013660;50;5;0.5;5;8;3;1;0.1
31;1617013749;50;5;0.5;5;8;3;3;0.1
33;1617013824;50;5;0.8;1;5;1;1;0.1
35;1617013894;50;5;0.8;1;5;1;3;0.1
37;1617014561;50;5;0.8;1;5;3;1;0.1
39;1617014657;50;5;0.8;1;5;3;3;0.1
41;1617015079;50;5;0.8;1;8;1;1;0.1
43;1617015308;50;5;0.8;1;8;1;3;0.1
45;1617015848;50;5;0.8;1;8;3;1;0.1
47;1617015871;50;5;0.8;1;8;3;3;0.1
49;1617015889;50;5;0.8;5;5;1;1;0.1
51;1617015977;50;5;0.8;5;5;1;3;0.1
53;1617016488;50;5;0.8;5;5;3;1;0.1
55;1617016607;50;5;0.8;5;5;3;3;0.1
57;1617016705;50;5;0.8;5;8;1;1;0.1
59;1617016809;50;5;0.8;5;8;1;3;0.1
61;1617017214;50;5;0.8;5;8;3;1;0.1
63;1617017284;50;5;0.8;5;8;3;3;0.1
65;1617017466;50;8;0.5;1;5;1;1;0.1
67;1617017635;50;8;0.5;1;5;1;3;0.1
69;1617018608;50;8;0.5;1;5;3;1;0.1
71;1617018916;50;8;0.5;1;5;3;3;0.1
73;1617019054;50;8;0.5;1;8;1;1;0.1
75;1617019241;50;8;0.5;1;8;1;3;0.1
77;1617019379;50;8;0.5;1;8;3;1;0.1
79;1617019444;50;8;0.5;1;8;3;3;0.1
81;1617019508;50;8;0.5;5;5;1;1;0.1
83;1617019587;50;8;0.5;5;5;1;3;0.1
85;1617020726;50;8;0.5;5;5;3;1;0.1
87;1617020796;50;8;0.5;5;5;3;3;0.1
89;1617020864;50;8;0.5;5;8;1;1;0.1
91;1617020977;50;8;0.5;5;8;1;3;0.1
93;1617021363;50;8;0.5;5;8;3;1;0.1
95;1617021396;50;8;0.5;5;8;3;3;0.1
97;1617021451;50;8;0.8;1;5;1;1;0.1
99;1617021608;50;8;0.8;1;5;1;3;0.1
101;1617022635;50;8;0.8;1;5;3;1;0.1
103;1617022719;50;8;0.8;1;5;3;3;0.1
105;1617023084;50;8;0.8;1;8;1;1;0.1
107;1617023572;50;8;0.8;1;8;1;3;0.1
109;1617023808;50;8;0.8;1;8;3;1;0.1
111;1617024119;50;8;0.8;1;8;3;3;0.1
113;1617024290;50;8;0.8;5;5;1;1;0.1
115;1617024477;50;8;0.8;5;5;1;3;0.1
117;1617024812;50;8;0.8;5;5;3;1;0.1
119;1617024865;50;8;0.8;5;5;3;3;0.1
121;1617025004;50;8;0.8;5;8;1;1;0.1
123;1617025125;50;8;0.8;5;8;1;3;0.1
125;1617025967;50;8;0.8;5;8;3;1;0.1
127;1617025982;50;8;0.8;5;8;3;3;0.1
2;1617006359;50;5;0.5;1;5;1;1;0.3
4;1617007848;50;5;0.5;1;5;1;3;0.3
6;1617008232;50;5;0.5;1;5;3;1;0.3
8;1617008402;50;5;0.5;1;5;3;3;0.3
10;1617008521;50;5;0.5;1;8;1;1;0.3
12;1617009804;50;5;0.5;1;8;1;3;0.3
14;1617010759;50;5;0.5;1;8;3;1;0.3
16;1617011113;50;5;0.5;1;8;3;3;0.3
18;1617011686;50;5;0.5;5;5;1;1;0.3
20;1617011830;50;5;0.5;5;5;1;3;0.3
22;1617012666;50;5;0.5;5;5;3;1;0.3
24;1617012829;50;5;0.5;5;5;3;3;0.3
26;1617013110;50;5;0.5;5;8;1;1;0.3
28;1617013343;50;5;0.5;5;8;1;3;0.3
30;1617014522;50;5;0.5;5;8;3;1;0.3
32;1617014812;50;5;0.5;5;8;3;3;0.3
34;1617015123;50;5;0.8;1;5;1;1;0.3
36;1617015289;50;5;0.8;1;5;1;3;0.3
38;1617015500;50;5;0.8;1;5;3;1;0.3
40;1617015653;50;5;0.8;1;5;3;3;0.3
42;1617015714;50;5;0.8;1;8;1;1;0.3
44;1617015773;50;5;0.8;1;8;1;3;0.3
46;1617015840;50;5;0.8;1;8;3;1;0.3
48;1617015899;50;5;0.8;1;8;3;3;0.3
50;1617016114;50;5;0.8;5;5;1;1;0.3
52;1617016190;50;5;0.8;5;5;1;3;0.3
54;1617016337;50;5;0.8;5;5;3;1;0.3
56;1617016357;50;5;0.8;5;5;3;3;0.3
58;1617016518;50;5;0.8;5;8;1;1;0.3
60;1617016600;50;5;0.8;5;8;1;3;0.3
62;1617016786;50;5;0.8;5;8;3;1;0.3
64;1617016861;50;5;0.8;5;8;3;3;0.3
66;1617016941;50;8;0.5;1;5;1;1;0.3
68;1617017126;50;8;0.5;1;5;1;3;0.3
70;1617017941;50;8;0.5;1;5;3;1;0.3
72;1617018001;50;8;0.5;1;5;3;3;0.3
