"run";"tick";"p";"d"
1;435.0;4;4.0
3;184.0;5;0.0
5;398.0;3;0.0
7;129.0;5;0.0
9;515.0;4;5.0
11;39.0;5;0.0
13;157.0;4;0.0
15;46.0;5;0.0
17;361.0;1;7.0
19;1417.0;5;0.0
21;234.0;4;0.0
23;127.0;5;0.0
25;764.0;1;5.0
27;1011.0;5;0.0
29;119.0;5;0.0
31;19.0;5;0.0
33;207.0;3;6.0
35;1301.0;5;0.0
37;140.0;5;0.0
39;219.0;5;0.0
41;231.0;5;0.0
43;1344.0;5;0.0
45;34.0;5;0.0
47;44.0;5;0.0
49;372.0;1;7.0
51;2000.0;2;7.0
53;279.0;2;0.0
55;244.0;4;4.0
57;254.0;0;8.0
59;1548.0;3;0.0
61;148.0;4;0.0
63;342.0;4;2.0
65;316.0;8;0.0
67;1800.0;8;0.0
69;137.0;8;0.0
71;123.0;8;0.0
73;230.0;7;1.0
75;47.0;8;0.0
77;39.0;8;0.0
79;36.0;8;0.0
81;151.0;5;4.0
83;2000.0;8;4.0
85;143.0;8;0.0
87;130.0;8;0.0
89;136.0;6;7.0
91;440.0;8;0.0
93;51.0;7;0.0
95;35.0;8;0.0
97;188.0;7;0.0
99;1262.0;8;0.0
101;133.0;8;0.0
103;172.0;8;0.0
105;354.0;6;0.0
107;53.0;8;0.0
109;136.0;6;0.0
111;48.0;8;0.0
113;246.0;0;8.0
115;1128.0;2;0.0
117;58.0;8;0.0
119;175.0;8;0.0
121;197.0;2;5.0
123;2000.0;7;4.0
125;33.0;8;0.0
127;34.0;8;0.0
2;1248.0;2;6.0
4;552.0;5;0.0
6;205.0;4;0.0
8;167.0;5;0.0
10;1495.0;4;3.0
12;841.0;5;0.0
14;185.0;5;0.0
16;235.0;5;0.0
18;271.0;1;6.0
20;2000.0;5;6.0
22;118.0;5;0.0
24;333.0;5;0.0
26;290.0;2;4.0
28;1874.0;5;0.0
30;144.0;5;0.0
32;36.0;4;0.0
34;210.0;3;4.0
36;630.0;5;0.0
38;357.0;3;0.0
40;193.0;5;0.0
42;183.0;5;0.0
44;172.0;5;0.0
46;140.0;4;0.0
48;224.0;5;0.0
50;120.0;0;8.0
52;470.0;4;0.0
54;55.0;4;0.0
56;182.0;5;0.0
58;314.0;1;3.0
60;781.0;1;7.0
62;115.0;5;0.0
64;156.0;5;0.0
66;695.0;5;6.0
68;2000.0;8;1.0
70;164.0;7;0.0
72;41.0;8;0.0
74;232.0;8;0.0
76;56.0;8;0.0
78;231.0;8;0.0
80;49.0;8;0.0
82;865.0;0;8.0
84;228.0;8;0.0
86;136.0;7;0.0
88;54.0;8;0.0
90;196.0;7;0.0
92;148.0;8;0.0
94;168.0;8;0.0
96;282.0;7;0.0
98;681.0;4;8.0
100;2000.0;8;6.0
102;145.0;6;1.0
104;145.0;6;2.0
106;186.0;7;0.0
108;165.0;8;0.0
110;43.0;7;0.0
112;119.0;8;0.0
114;150.0;2;4.0
116;1370.0;4;0.0
118;43.0;8;0.0
120;127.0;8;0.0
122;176.0;5;3.0
124;839.0;6;0.0
126;49.0;8;0.0
128;58.0;8;0.0
